(10,1)
(20,1)
(30,1)
(40,1)
(50,1)
(60,1)
(70,1)
(80,1)
(90,1)
(100,1)
(200,0.602860010925795)
(300,0.104560090853918)
(400,1)
(500,0.602860010925795)
(600,0.602860010925795)
(700,0.602860010925795)
(800,0.275100172464822)
(900,0.275100172464822)
(1000,0.275100172464822)
(2000,0.275100172464822)
(3000,0.275100172464822)
(4000,0.104560090853918)
(5000,0.104560090853918)
(6000,0.0365625429242825)
(7000,0.0123900467595553)
(8000,0.0123900467595553)
(9000,0.0365625429242825)
(10000,0.0123900467595553)
(20000,0.0123131265931398)
(30000,0.0120879917676369)
(40000,0.0120879917676369)
(50000,0.0120879917676369)
(60000,0.0120879917676369)
(70000,0.0120879917676369)
(80000,0.0120879917676369)
(90000,0.0114594153945209)
(100000,0.0114594153945209)
(200000,0.0340516215813161)
(300000,0.02949423045512)
(400000,0.0863508622906197)
(500000,0.0863508622906197)
(600000,0.0863508622906197)
(700000,0.17693411382619)
(800000,0.17693411382619)
(900000,0.664807221454126)
(1000000,0.664807221454126)
(2000000,0.370425093029146)
(3000000,0.367107243162017)
(4000000,0.778447087812123)
(5000000,0.778447087812123)
(6000000,0.842449500371983)
(7000000,1.63305773478025)
(8000000,1.63305773478025)
(9000000,1.63305773478025)
(10000000,1.63305773478025)
(20000000,1)
(30000000,1)
(40000000,1)
(50000000,1)
(60000000,1)
(70000000,1)
(80000000,1)
(90000000,1)
(100000000,1)
