(10,1)
(20,1)
(30,1)
(40,1)
(50,1)
(60,1)
(70,1)
(80,1)
(90,1)
(100,1)
(200,0.611768558453779)
(300,0.108109672138897)
(400,1)
(500,0.611768558453779)
(600,0.611768558453779)
(700,0.611768558453779)
(800,0.282611984283692)
(900,0.282611984283692)
(1000,0.282611984283692)
(2000,0.0128555828540156)
(3000,0.0128555828540156)
(4000,0.108109672138897)
(5000,0.108109672138897)
(6000,0.0379014661214217)
(7000,0.0128555828540156)
(8000,0.0379014661214217)
(9000,0.0128555828540156)
(10000,0.0127512688325568)
(20000,0.0127512688325568)
(30000,0.0124482426077814)
(40000,0.0124482426077814)
(50000,0.0124482426077814)
(60000,0.0124482426077814)
(70000,0.0124482426077814)
(80000,0.0116198279659235)
(90000,0.0116198279659235)
(100000,0.0116198279659235)
(200000,0.0116198279659235)
(300000,0.0288543815961962)
(400000,0.0288543815961962)
(500000,0.0288543815961962)
(600000,0.0570696641272746)
(700000,0.0570696641272746)
(800000,0.611115401386871)
(900000,0.611115401386871)
(1000000,0.28205493769258)
(2000000,0.111228132713897)
(3000000,0.306432456683235)
(4000000,0.306432456683235)
(5000000,0.751426837914544)
(6000000,0.701844459358804)
(7000000,0.701844459358804)
(8000000,0.701844459358804)
(9000000,0.738385868801329)
(10000000,1.39284826706764)
(20000000,1.73506408745858)
(30000000,2.57693686212291)
(40000000,1)
(50000000,1)
(60000000,1)
(70000000,1)
(80000000,1)
(90000000,1)
(100000000,1)
